date,model,start_equity,gross_pnl,commission,slippage,costs,net_pnl,equity,daily_return,shares,sizing_leverage
2025-04-02,A,100000.0,218.34000000001424,1.26,0.36,1.62,216.72000000001572,100216.72000000002,0.002167200000000147,180,1.0
2025-04-03,A,100216.72000000002,1153.3269999999975,1.295,0.37,1.665,1151.6619999999966,101368.38200000001,0.011491715154916315,185,1.0
2025-04-04,A,101368.38200000001,2095.801399999995,1.358,0.388,1.746,2094.055399999983,103462.4374,0.020657875352099175,194,1.0
2025-04-07,A,103462.4374,-1008.5040000000072,1.47,0.42,1.89,-1010.3940000000148,102452.04339999998,-0.009765805111411563,210,1.0
2025-04-08,A,102452.04339999998,153.5024000000006,1.379,0.394,1.7730000000000001,151.72940000001108,102603.77279999999,0.001480979734173049,197,1.0
2025-04-09,A,102603.77279999999,-1595.5936000000165,2.884,0.8240000000000001,3.708,-1599.3016000000207,101004.47119999997,-0.015587161722770748,206,1.0
2025-04-10,A,101004.47119999997,-148.91519999998854,1.344,0.384,1.7280000000000002,-150.64319999999134,100853.82799999998,-0.0014914508061896203,192,1.0
2025-04-11,A,100853.82799999998,-1759.7161000000024,2.702,0.772,3.474,-1763.1900999999925,99090.63789999999,-0.01748262941491907,193,1.0
2025-04-14,A,99090.63789999999,0.0,0.0,0.0,0.0,0.0,99090.63789999999,0.0,184,1.0
2025-04-15,A,99090.63789999999,0.0,0.0,0.0,0.0,0.0,99090.63789999999,0.0,184,1.0
2025-04-16,A,99090.63789999999,0.0,0.0,0.0,0.0,0.0,99090.63789999999,0.0,188,1.0
2025-04-17,A,99090.63789999999,0.0,0.0,0.0,0.0,0.0,99090.63789999999,0.0,188,1.0
2025-04-21,A,99090.63789999999,-154.63680000000386,1.344,0.384,1.7280000000000002,-156.3648000000103,98934.27309999998,-0.0015779977131422651,192,1.0
2025-04-22,A,98934.27309999998,196.45999999999844,1.33,0.38,1.71,194.75,99129.02309999998,0.0019684786060252257,190,1.0
2025-04-23,A,99129.02309999998,0.0,0.0,0.0,0.0,0.0,99129.02309999998,0.0,183,1.0
2025-04-24,A,99129.02309999998,833.9984000000004,1.288,0.368,1.6560000000000001,832.3424000000086,99961.36549999999,0.00839655606371048,184,1.0
2025-04-25,A,99961.36549999999,0.0,0.0,0.0,0.0,0.0,99961.36549999999,0.0,184,1.0
2025-04-28,A,99961.36549999999,0.0,0.0,0.0,0.0,0.0,99961.36549999999,0.0,182,1.0
2025-04-29,A,99961.36549999999,0.0,0.0,0.0,0.0,0.0,99961.36549999999,0.0,182,1.0
2025-04-30,A,99961.36549999999,0.0,0.0,0.0,0.0,0.0,99961.36549999999,0.0,185,1.0
2025-05-01,A,99961.36549999999,-875.6500999999936,1.2530000000000001,0.358,1.6110000000000002,-877.2610999999888,99084.1044,-0.008776001564324232,179,1.0
2025-05-02,A,99084.1044,81.82240000001002,1.232,0.352,1.584,80.238400000002,99164.3428,0.0008098009310966159,176,1.0
2025-05-05,A,99164.3428,0.0,0.0,0.0,0.0,0.0,99164.3428,0.0,176,1.0
2025-05-06,A,99164.3428,0.0,0.0,0.0,0.0,0.0,99164.3428,0.0,178,1.0
2025-05-07,A,99164.3428,0.0,0.0,0.0,0.0,0.0,99164.3428,0.0,177,1.0
2025-05-08,A,99164.3428,-579.233600000005,1.232,0.352,1.584,-580.8176000000094,98583.52519999999,-0.005857121457169656,176,1.0
2025-05-09,A,98583.52519999999,0.0,0.0,0.0,0.0,0.0,98583.52519999999,0.0,174,1.0
2025-05-12,A,98583.52519999999,0.0,0.0,0.0,0.0,0.0,98583.52519999999,0.0,171,1.0
2025-05-13,A,98583.52519999999,0.0,0.0,0.0,0.0,0.0,98583.52519999999,0.0,169,1.0
2025-05-14,A,98583.52519999999,0.0,0.0,0.0,0.0,0.0,98583.52519999999,0.0,168,1.0
2025-05-15,A,98583.52519999999,0.0,0.0,0.0,0.0,0.0,98583.52519999999,0.0,169,1.0
2025-05-16,A,98583.52519999999,68.08589999999617,1.169,0.334,1.5030000000000001,66.58289999999397,98650.10809999998,0.0006753958114695813,167,1.0
2025-05-19,A,98650.10809999998,0.0,0.0,0.0,0.0,0.0,98650.10809999998,0.0,167,1.0
2025-05-20,A,98650.10809999998,0.0,0.0,0.0,0.0,0.0,98650.10809999998,0.0,167,1.0
2025-05-21,A,98650.10809999998,268.9343999999892,1.176,0.336,1.512,267.42239999999583,98917.53049999998,0.0027108171004628367,168,1.0
2025-05-22,A,98917.53049999998,0.0,0.0,0.0,0.0,0.0,98917.53049999998,0.0,170,1.0
2025-05-23,A,98917.53049999998,0.0,0.0,0.0,0.0,0.0,98917.53049999998,0.0,172,1.0
2025-05-27,A,98917.53049999998,549.6217999999835,1.183,0.338,1.5210000000000001,548.1007999999856,99465.63129999996,0.005540987499682792,169,1.0
2025-05-28,A,99465.63129999996,271.38020000000756,1.183,0.338,1.5210000000000001,269.85920000000624,99735.49049999997,0.0027130899032459244,169,1.0
2025-05-29,A,99735.49049999997,0.0,0.0,0.0,0.0,0.0,99735.49049999997,0.0,169,1.0
2025-05-30,A,99735.49049999997,-726.8179999999984,1.19,0.34,1.53,-728.3479999999981,99007.14249999997,-0.007302796590748173,170,1.0
2025-06-02,A,99007.14249999997,67.21129999999766,1.183,0.338,1.5210000000000001,65.69029999998747,99072.83279999996,0.0006634905153433124,169,1.0
2025-06-03,A,99072.83279999996,376.67280000000846,1.176,0.336,1.512,375.1608000000124,99447.99359999997,0.003786717199833811,168,1.0
2025-06-04,A,99447.99359999997,0.0,0.0,0.0,0.0,0.0,99447.99359999997,0.0,167,1.0
2025-06-05,A,99447.99359999997,-719.9639999999927,1.176,0.336,1.512,-721.4759999999806,98726.51759999999,-0.007254806998941654,168,1.0
2025-06-06,A,98726.51759999999,0.0,0.0,0.0,0.0,0.0,98726.51759999999,0.0,165,1.0
2025-06-09,A,98726.51759999999,0.0,0.0,0.0,0.0,0.0,98726.51759999999,0.0,165,1.0
2025-06-10,A,98726.51759999999,0.0,0.0,0.0,0.0,0.0,98726.51759999999,0.0,165,1.0
2025-06-11,A,98726.51759999999,-127.18200000001298,1.1480000000000001,0.328,1.4760000000000002,-128.65800000001036,98597.85959999998,-0.0013031757133507016,164,1.0
2025-06-12,A,98597.85959999998,0.0,0.0,0.0,0.0,0.0,98597.85959999998,0.0,165,1.0
2025-06-13,A,98597.85959999998,-24.60149999999601,1.155,0.33,1.485,-26.086499999990338,98571.77309999999,-0.0002645747088813044,165,1.0
2025-06-16,A,98571.77309999999,0.0,0.0,0.0,0.0,0.0,98571.77309999999,0.0,164,1.0
2025-06-17,A,98571.77309999999,208.70640000000185,1.1480000000000001,0.328,1.4760000000000002,207.23040000000037,98779.00349999999,0.002102330043203926,164,1.0
2025-06-18,A,98779.00349999999,-541.728000000013,1.155,0.33,1.485,-543.2130000000034,98235.79049999999,-0.005499275967083439,165,1.0
2025-06-20,A,98235.79049999999,-6.5435999999981505,1.1480000000000001,0.328,1.4760000000000002,-8.019599999999627,98227.77089999999,-8.163623419921162e-05,164,1.0
2025-06-23,A,98227.77089999999,153.03749999998274,1.155,0.33,1.485,151.5524999999907,98379.32339999998,0.0015428681584790382,165,1.0
2025-06-24,A,98379.32339999998,162.5598999999993,1.141,0.326,1.467,161.09290000000328,98540.41629999998,0.0016374670452348195,163,1.0
2025-06-25,A,98540.41629999998,0.0,0.0,0.0,0.0,0.0,98540.41629999998,0.0,162,1.0
2025-06-26,A,98540.41629999998,158.3063999999879,1.1340000000000001,0.324,1.4580000000000002,156.84839999998803,98697.26469999997,0.00159171643361522,162,1.0
2025-06-27,A,98697.26469999997,-158.95530000000076,1.127,0.322,1.449,-160.4042999999947,98536.86039999998,-0.0016252152527991282,161,1.0
2025-06-30,A,98536.86039999998,0.0,0.0,0.0,0.0,0.0,98536.86039999998,0.0,160,1.0
2025-07-01,A,98536.86039999998,0.0,0.0,0.0,0.0,0.0,98536.86039999998,0.0,160,1.0
2025-07-02,A,98536.86039999998,287.2160000000076,1.12,0.32,1.4400000000000002,285.7760000000126,98822.63639999999,0.002900193885211344,160,1.0
