model,trade_id,date,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,shares,sizing_leverage,entry_equity,gross_pnl,costs,net_pnl,return_on_entry_notional,return_on_start_equity,pnl_per_share,exit_reason
C,1,2025-04-02,2025-04-02 11:30:00,2025-04-02 12:00:00,1,560.0867,559.1322,302,1.6819329299852241,100000.0,-288.2589999999816,2.718,-290.9769999999816,-0.0017202693797227094,-0.002909769999999816,-0.9634999999999391,stop_or_reverse
C,2,2025-04-02,2025-04-02 12:30:00,2025-04-02 14:30:00,1,561.1009,557.7998,302,1.6819329299852241,100000.0,-996.9322000000059,2.718,-999.650200000006,-0.005899295474307776,-0.00999650200000006,-3.31010000000002,stop_or_reverse
C,3,2025-04-03,2025-04-03 10:30:00,2025-04-03 12:00:00,-1,539.8726,540.499,323,1.7745187617726503,98709.37280000001,-202.32719999999665,2.907,-205.23419999999666,-0.0011769443383494358,-0.0020791764163655656,-0.6353999999999896,stop_or_reverse
C,4,2025-04-03,2025-04-03 14:30:00,2025-04-03 15:00:00,-1,537.6603,538.7093,323,1.7745187617726503,98709.37280000001,-338.82699999999295,2.907,-341.73399999999293,-0.001967785235398593,-0.0034620217949555537,-1.057999999999978,stop_or_reverse
C,5,2025-04-03,2025-04-03 15:30:00,2025-04-03 16:00:00,-1,536.1142,533.6384,323,1.7745187617726503,98709.37280000001,799.6833999999792,2.907,796.7763999999793,0.004601258463215367,0.008071942687898218,2.4667999999999357,session_close
C,6,2025-04-04,2025-04-04 10:30:00,2025-04-04 16:00:00,-1,513.2007,502.3976,229,1.2057072750100706,98959.18099999998,2473.9098999999937,2.061,2471.848899999994,0.021032901942651238,0.024978469658110798,10.794099999999974,session_close
C,7,2025-04-07,2025-04-07 14:00:00,2025-04-07 14:30:00,1,506.3052,502.2883,188,0.913748777447013,101431.02989999998,-755.177200000004,1.692,-756.869200000004,-0.007951528050669874,-0.007461909839091598,-4.025900000000021,stop_or_reverse
C,8,2025-04-08,2025-04-08 15:30:00,2025-04-08 16:00:00,-1,494.4271,493.6479,176,0.9122184862461684,100674.16069999996,137.13920000000053,1.5839999999999999,135.55520000000053,0.0015577625093770205,0.0013464745974286585,0.770200000000003,session_close
C,9,2025-04-09,2025-04-09 11:00:00,2025-04-09 11:30:00,-1,490.317,495.3581,189,0.9351213069221191,100809.71589999997,-952.7678999999946,1.701,-954.4688999999946,-0.010299663279062263,-0.009468024896993037,-5.050099999999971,stop_or_reverse
C,10,2025-04-09,2025-04-09 13:30:00,2025-04-09 16:00:00,1,521.7765,545.4904,189,0.9351213069221191,100809.71589999997,4481.9270999999935,1.701,4480.2260999999935,0.04543113766143159,0.04444240379016875,23.704899999999967,session_close
C,11,2025-04-10,2025-04-10 11:30:00,2025-04-10 14:00:00,-1,520.812,521.1998,106,0.5362360017374127,104335.47309999997,-41.10679999999684,0.954,-42.06079999999684,-0.0007618872068999373,-0.00040313039036765386,-0.3967999999999702,stop_or_reverse
C,12,2025-04-11,2025-04-11 10:30:00,2025-04-11 11:00:00,-1,517.5607,519.937,102,0.5131430815702236,104293.41229999998,-242.3826000000015,0.9179999999999999,-243.3006000000015,-0.0046087347822197765,-0.002332847249260072,-2.3853000000000146,stop_or_reverse
C,13,2025-04-11,2025-04-11 13:00:00,2025-04-11 13:30:00,1,528.7863,526.8027,102,0.5131430815702236,104293.41229999998,-202.32720000000245,0.9179999999999999,-203.24520000000246,-0.0037682519384485266,-0.0019487827228758005,-1.9926000000000241,stop_or_reverse
C,14,2025-04-11,2025-04-11 14:00:00,2025-04-11 15:00:00,1,531.6697,529.1342,102,0.5131430815702236,104293.41229999998,-258.62100000000714,0.9179999999999999,-259.53900000000715,-0.004785866111986577,-0.0024885464410105145,-2.54450000000007,stop_or_reverse
C,15,2025-04-11,2025-04-11 15:30:00,2025-04-11 16:00:00,1,531.441,530.8942,102,0.5131430815702236,104293.41229999998,-55.77360000000772,0.9179999999999999,-56.69160000000772,-0.0010458357559918704,-0.000543577957128628,-0.5558000000000757,session_close
C,16,2025-04-21,2025-04-21 11:30:00,2025-04-21 13:30:00,-1,510.1432,507.0013,102,0.5108840524978369,103530.63589999996,320.47379999999634,0.9179999999999999,319.55579999999634,0.006141216819120522,0.003086582026876128,3.1328999999999643,stop_or_reverse
C,17,2025-04-21,2025-04-21 14:00:00,2025-04-21 14:30:00,-1,506.0935,507.031,102,0.5108840524978369,103530.63589999996,-95.625,0.9179999999999999,-96.543,-0.0018702077778118074,-0.0009325065876466817,-0.9465,stop_or_reverse
C,18,2025-04-21,2025-04-21 15:00:00,2025-04-21 15:30:00,-1,505.8677,507.5083,102,0.5108840524978369,103530.63589999996,-167.34120000000064,0.9179999999999999,-168.25920000000065,-0.003260931662567122,-0.0016252116925324583,-1.6496000000000064,stop_or_reverse
C,19,2025-04-22,2025-04-22 12:00:00,2025-04-22 13:30:00,1,523.2083,519.6039,101,0.5075569859210025,103585.38949999995,-364.04440000000557,0.909,-364.95340000000556,-0.006906236005812704,-0.0035232130878844236,-3.613400000000055,stop_or_reverse
C,20,2025-04-24,2025-04-24 10:30:00,2025-04-24 11:00:00,1,539.0388,539.3954,95,0.4938055358813649,103220.43609999993,33.876999999995974,0.855,33.02199999999597,0.0006448515394438352,0.00031991726878584647,0.34759999999995755,stop_or_reverse
