model,date,timestamp,direction,held_shares,equity_marked,marked_leverage
C,2025-04-02,2025-04-02 10:00:00,0,0,100000.0,0.0
C,2025-04-02,2025-04-02 10:30:00,0,0,100000.0,0.0
C,2025-04-02,2025-04-02 11:00:00,0,0,100000.0,0.0
C,2025-04-02,2025-04-02 11:30:00,1,302,99998.641,1.691484821278721
C,2025-04-02,2025-04-02 12:00:00,0,0,99709.02300000002,0.0
C,2025-04-02,2025-04-02 12:30:00,1,302,99707.66400000002,1.6994929477035985
C,2025-04-02,2025-04-02 13:00:00,1,302,100117.53839999999,1.6966292711008164
C,2025-04-02,2025-04-02 13:30:00,1,302,100218.13460000002,1.6959300138480125
C,2025-04-02,2025-04-02 14:00:00,1,302,99569.52920000002,1.7004633682650774
C,2025-04-02,2025-04-02 14:30:00,0,0,98709.37280000001,0.0
C,2025-04-02,2025-04-02 15:00:00,0,0,98709.37280000001,0.0
C,2025-04-02,2025-04-02 15:30:00,0,0,98709.37280000001,0.0
C,2025-04-02,2025-04-02 16:00:00,0,0,98709.37280000001,0.0
C,2025-04-03,2025-04-03 10:00:00,0,0,98709.37280000001,0.0
C,2025-04-03,2025-04-03 10:30:00,-1,-323,98707.91930000001,1.766614584084339
C,2025-04-03,2025-04-03 11:00:00,-1,-323,99616.77670000002,1.7413732721187312
C,2025-04-03,2025-04-03 11:30:00,-1,-323,99128.62680000001,1.754872915277789
C,2025-04-03,2025-04-03 12:00:00,0,0,98504.1386,0.0
C,2025-04-03,2025-04-03 12:30:00,0,0,98504.1386,0.0
C,2025-04-03,2025-04-03 13:00:00,0,0,98504.1386,0.0
C,2025-04-03,2025-04-03 13:30:00,0,0,98504.1386,0.0
C,2025-04-03,2025-04-03 14:00:00,0,0,98504.1386,0.0
C,2025-04-03,2025-04-03 14:30:00,-1,-323,98502.6851,1.7630410452638514
C,2025-04-03,2025-04-03 15:00:00,0,0,98162.40460000001,0.0
C,2025-04-03,2025-04-03 15:30:00,-1,-323,98160.9511,1.7640913689150266
C,2025-04-03,2025-04-03 16:00:00,0,0,98959.18099999998,0.0
C,2025-04-04,2025-04-04 10:00:00,0,0,98959.18099999998,0.0
C,2025-04-04,2025-04-04 10:30:00,-1,-229,98958.15049999999,1.1876026351159423
C,2025-04-04,2025-04-04 11:00:00,-1,-229,99168.78469999999,1.1829561737081569
C,2025-04-04,2025-04-04 11:30:00,-1,-229,98913.7474,1.1885846658358432
C,2025-04-04,2025-04-04 12:00:00,-1,-229,99198.37149999998,1.18230508753866
C,2025-04-04,2025-04-04 12:30:00,-1,-229,99835.95329999998,1.1683682445490309
C,2025-04-04,2025-04-04 13:00:00,-1,-229,99908.77529999998,1.1667877536278841
C,2025-04-04,2025-04-04 13:30:00,-1,-229,100156.94259999998,1.1614189209485717
C,2025-04-04,2025-04-04 14:00:00,-1,-229,99275.79639999998,1.1806031142551483
C,2025-04-04,2025-04-04 14:30:00,-1,-229,100613.49989999998,1.1516109768088887
C,2025-04-04,2025-04-04 15:00:00,-1,-229,100814.99699999999,1.1473105911018378
C,2025-04-04,2025-04-04 15:30:00,-1,-229,100300.41109999998,1.1583272533565918
C,2025-04-04,2025-04-04 16:00:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 10:00:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 10:30:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 11:00:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 11:30:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 12:00:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 12:30:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 13:00:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 13:30:00,0,0,101431.02989999998,0.0
C,2025-04-07,2025-04-07 14:00:00,1,188,101430.18389999997,0.9384324659594749
C,2025-04-07,2025-04-07 14:30:00,0,0,100674.16069999996,0.0
C,2025-04-07,2025-04-07 15:00:00,0,0,100674.16069999996,0.0
C,2025-04-07,2025-04-07 15:30:00,0,0,100674.16069999996,0.0
C,2025-04-07,2025-04-07 16:00:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 10:00:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 10:30:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 11:00:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 11:30:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 12:00:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 12:30:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 13:00:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 13:30:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 14:00:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 14:30:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 15:00:00,0,0,100674.16069999996,0.0
C,2025-04-08,2025-04-08 15:30:00,-1,-176,100673.36869999996,0.8643712902794721
C,2025-04-08,2025-04-08 16:00:00,0,0,100809.71589999997,0.0
C,2025-04-09,2025-04-09 10:00:00,0,0,100809.71589999997,0.0
C,2025-04-09,2025-04-09 10:30:00,0,0,100809.71589999997,0.0
C,2025-04-09,2025-04-09 11:00:00,-1,-189,100808.86539999997,0.9192635254081536
C,2025-04-09,2025-04-09 11:30:00,0,0,99855.24699999997,0.0
C,2025-04-09,2025-04-09 12:00:00,0,0,99855.24699999997,0.0
C,2025-04-09,2025-04-09 12:30:00,0,0,99855.24699999997,0.0
C,2025-04-09,2025-04-09 13:00:00,0,0,99855.24699999997,0.0
C,2025-04-09,2025-04-09 13:30:00,1,189,99854.39649999997,0.9875955586993111
C,2025-04-09,2025-04-09 14:00:00,1,189,101884.88019999997,0.9878427692355478
C,2025-04-09,2025-04-09 14:30:00,1,189,102398.86569999995,0.9879037917897565
C,2025-04-09,2025-04-09 15:00:00,1,189,101057.09799999995,0.9877431865300549
C,2025-04-09,2025-04-09 15:30:00,1,189,102836.72199999997,0.987955294802182
C,2025-04-09,2025-04-09 16:00:00,0,0,104335.47309999997,0.0
C,2025-04-10,2025-04-10 10:00:00,0,0,104335.47309999997,0.0
C,2025-04-10,2025-04-10 10:30:00,0,0,104335.47309999997,0.0
C,2025-04-10,2025-04-10 11:00:00,0,0,104335.47309999997,0.0
C,2025-04-10,2025-04-10 11:30:00,-1,-106,104334.99609999997,0.529123247841862
C,2025-04-10,2025-04-10 12:00:00,-1,-106,104912.55829999998,0.5207051537508833
C,2025-04-10,2025-04-10 12:30:00,-1,-106,105612.91089999997,0.5106208771299003
C,2025-04-10,2025-04-10 13:00:00,-1,-106,104768.16509999997,0.5228010144848859
C,2025-04-10,2025-04-10 13:30:00,-1,-106,104845.11049999998,0.5216834370163596
C,2025-04-10,2025-04-10 14:00:00,0,0,104293.41229999998,0.0
C,2025-04-10,2025-04-10 14:30:00,0,0,104293.41229999998,0.0
C,2025-04-10,2025-04-10 15:00:00,0,0,104293.41229999998,0.0
C,2025-04-10,2025-04-10 15:30:00,0,0,104293.41229999998,0.0
C,2025-04-10,2025-04-10 16:00:00,0,0,104293.41229999998,0.0
C,2025-04-11,2025-04-11 10:00:00,0,0,104293.41229999998,0.0
C,2025-04-11,2025-04-11 10:30:00,-1,-102,104292.95329999998,0.5061817671242416
C,2025-04-11,2025-04-11 11:00:00,0,0,104050.11169999998,0.0
C,2025-04-11,2025-04-11 11:30:00,0,0,104050.11169999998,0.0
C,2025-04-11,2025-04-11 12:00:00,0,0,104050.11169999998,0.0
C,2025-04-11,2025-04-11 12:30:00,0,0,104050.11169999998,0.0
C,2025-04-11,2025-04-11 13:00:00,1,102,104049.65269999998,0.5183698474757139
C,2025-04-11,2025-04-11 13:30:00,0,0,103846.86649999997,0.0
C,2025-04-11,2025-04-11 14:00:00,1,102,103846.40749999997,0.5222165186600222
C,2025-04-11,2025-04-11 14:30:00,1,102,103692.25489999997,0.5215062287164132
C,2025-04-11,2025-04-11 15:00:00,0,0,103587.32749999997,0.0
C,2025-04-11,2025-04-11 15:30:00,1,102,103586.86849999997,0.5232997462414845
C,2025-04-11,2025-04-11 16:00:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 10:00:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 10:30:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 11:00:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 11:30:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 12:00:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 12:30:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 13:00:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 13:30:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 14:00:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 14:30:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 15:00:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 15:30:00,0,0,103530.63589999996,0.0
C,2025-04-14,2025-04-14 16:00:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 10:00:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 10:30:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 11:00:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 11:30:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 12:00:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 12:30:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 13:00:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 13:30:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 14:00:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 14:30:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 15:00:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 15:30:00,0,0,103530.63589999996,0.0
C,2025-04-15,2025-04-15 16:00:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 10:00:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 10:30:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 11:00:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 11:30:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 12:00:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 12:30:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 13:00:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 13:30:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 14:00:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 14:30:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 15:00:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 15:30:00,0,0,103530.63589999996,0.0
C,2025-04-16,2025-04-16 16:00:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 10:00:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 10:30:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 11:00:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 11:30:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 12:00:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 12:30:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 13:00:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 13:30:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 14:00:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 14:30:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 15:00:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 15:30:00,0,0,103530.63589999996,0.0
C,2025-04-17,2025-04-17 16:00:00,0,0,103530.63589999996,0.0
C,2025-04-21,2025-04-21 10:00:00,0,0,103530.63589999996,0.0
C,2025-04-21,2025-04-21 10:30:00,0,0,103530.63589999996,0.0
C,2025-04-21,2025-04-21 11:00:00,0,0,103530.63589999996,0.0
C,2025-04-21,2025-04-21 11:30:00,-1,-102,103530.17689999996,0.5026032791411179
C,2025-04-21,2025-04-21 12:00:00,-1,-102,103734.02389999996,0.4996505240167399
C,2025-04-21,2025-04-21 12:30:00,-1,-102,103676.22049999995,0.5004866356986849
C,2025-04-21,2025-04-21 13:00:00,-1,-102,103715.77609999996,0.49991437320016374
C,2025-04-21,2025-04-21 13:30:00,0,0,103850.19169999995,0.0
C,2025-04-21,2025-04-21 14:00:00,-1,-102,103849.73269999995,0.4970791513650187
C,2025-04-21,2025-04-21 14:30:00,0,0,103753.64869999995,0.0
C,2025-04-21,2025-04-21 15:00:00,-1,-102,103753.18969999994,0.4973197021623715
C,2025-04-21,2025-04-21 15:30:00,0,0,103585.38949999995,0.0
C,2025-04-21,2025-04-21 16:00:00,0,0,103585.38949999995,0.0
C,2025-04-22,2025-04-22 10:00:00,0,0,103585.38949999995,0.0
C,2025-04-22,2025-04-22 10:30:00,0,0,103585.38949999995,0.0
