date,equity,daily_return,net_pnl
2025-04-02,100632.0119087595,0.006320119087595,632.011908759494
2025-04-03,95672.78377652034,-0.049280820667041425,-4959.22813223915
2025-04-04,90071.82654346031,-0.058542847944543674,-5600.957233060035
2025-04-07,89911.38530405577,-0.0017812588637482474,-160.44123940453574
2025-04-08,88503.10959110163,-0.01566292976347472,-1408.2757129541424
2025-04-09,97797.65758300443,0.10501945112262256,9294.5479919028
2025-04-10,93512.25038514682,-0.04381911902358637,-4285.40719785761
2025-04-11,95180.79266111758,0.01784303413829269,1668.542275970758
2025-04-14,96104.1769045293,0.009701371648577872,923.384243411725
2025-04-15,95834.99992738997,-0.002800887389179052,-269.1769771393301
2025-04-16,93704.783458112,-0.022227959210016746,-2130.216469277977
2025-04-17,93838.47552674978,0.001426736861278366,133.69206863778527
2025-04-21,91604.86598253092,-0.023802704931860763,-2233.609544218867
2025-04-22,93988.21351216792,0.026017695720350842,2383.3475296370016
2025-04-23,95444.60904706437,0.015495512474102968,1456.3955348964519
2025-04-24,97453.61161315607,0.021048884647859367,2009.0025660917017
2025-04-25,98157.74946963314,0.0072253644048838606,704.1378564770712
2025-04-28,98195.18396598767,0.00038137076855160323,37.43449635452998
2025-04-29,98813.74957576925,0.006299347735789551,618.5656097815809
2025-04-30,98852.95898358888,0.0003968011333237431,39.209407819624175
2025-05-01,99553.52908873714,0.007086991753727512,700.5701051482611
2025-05-02,101031.31320320781,0.014844115803804847,1477.7841144706763
2025-05-05,100451.97492964448,-0.005734244712805925,-579.338273563335
2025-05-06,99612.35216466589,-0.008358449553298009,-839.6227649785869
2025-05-07,100031.26712722333,0.004205451969098606,418.9149625574355
2025-05-08,100728.26948104278,0.006967844893267072,697.002353819451
2025-05-09,100599.92007519887,-0.0012742143442469045,-128.34940584391006
2025-05-12,103924.4906048916,0.03304744702786655,3324.5705296927335
2025-05-13,104610.80763312329,0.0066039970389750735,686.317028231686
2025-05-14,104744.49970176107,0.0012779948043863953,133.69206863778527
2025-05-15,105256.10448527298,0.004884311681936593,511.6047835119098
2025-05-16,105922.80784539552,0.006334106353098168,666.7033601225412
2025-05-19,106038.67908578792,0.001093921533514619,115.87124039240007
2025-05-20,105682.15495048802,-0.0033622083788074075,-356.5241352999001
2025-05-21,103901.32711385231,-0.016850790348380218,-1780.8278366357117
2025-05-22,103942.31143313702,0.0003944542425313724,40.984319284703815
2025-05-23,103232.84884226468,-0.006825541794197254,-709.4625908723392
2025-05-27,105379.11122832299,0.02079049847144776,2146.2623860583117
2025-05-28,104769.45603266411,-0.0057853514662687955,-609.655195658881
2025-05-29,105183.010404029,0.003947279932769332,413.5543713648949
2025-05-30,105065.36425217152,-0.0011184900622788208,-117.64615185747971
2025-06-02,105657.19861958502,0.005633011141454869,591.8343674134958
2025-06-03,106259.71831258628,0.005702590082580228,602.5196930012607
2025-06-04,106231.19423035446,-0.00026843739739557115,-28.524082231815555
2025-06-05,105717.79660697884,-0.0048328330213661674,-513.3976233756257
2025-06-06,106803.41492965881,0.010269021465855177,1085.6183226799767
