source_timestamp,price,volume,date,timestamp,interval_price,price_source_timestamp,is_close,scheduled_close,anchor_available_at,open_proxy,slot,incremental_volume,cumulative_observed_volume,absolute_move,noise_sigma,noise_count,previous_close,upper,lower,eligible_day,vwap_weight_price,vwap_approx,long_stop,short_stop
2025-03-13 09:30:00,549.9453,3376733,2025-03-13,2025-03-13 10:00:00,549.9453,2025-03-13 09:30:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,10:00,3376733.0,3376733.0,0.0,,0.0,554.0158,,,False,549.9453,549.9453,,
2025-03-13 10:00:00,552.3206,3104572,2025-03-13,2025-03-13 10:30:00,552.3206,2025-03-13 10:00:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,10:30,3104572.0,6481305.0,0.004319156832506943,,0.0,554.0158,,,False,552.3206,551.0830785602745,,
2025-03-13 10:30:00,551.2501,2113298,2025-03-13,2025-03-13 11:00:00,551.2501,2025-03-13 10:30:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,11:00,2113298.0,8594603.0,0.0023725996021786155,,0.0,554.0158,,,False,551.2501,551.124146899851,,
2025-03-13 11:00:00,549.4259,1985860,2025-03-13,2025-03-13 11:30:00,549.4259,2025-03-13 11:00:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,11:30,1985860.0,10580463.0,0.0009444575669617095,,0.0,554.0158,,,False,549.4259,550.8054008687427,,
2025-03-13 11:30:00,547.7606,3384171,2025-03-13,2025-03-13 12:00:00,547.7606,2025-03-13 11:30:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,12:00,3384171.0,13964634.0,0.003972576909012648,,0.0,554.0158,,,False,547.7606,550.0675278388607,,
2025-03-13 12:00:00,547.7407,2046320,2025-03-13,2025-03-13 12:30:00,547.7407,2025-03-13 12:00:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,12:30,2046320.0,16010954.0,0.0040087623259986715,,0.0,554.0158,,,False,547.7407,549.770141790333,,
2025-03-13 12:30:00,547.7903,3163341,2025-03-13,2025-03-13 13:00:00,547.7903,2025-03-13 12:30:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,13:00,3163341.0,19174295.0,0.003918571537932958,,0.0,554.0158,,,False,547.7903,549.4435110219594,,
2025-03-13 13:00:00,546.2241,2542120,2025-03-13,2025-03-13 13:30:00,546.2241,2025-03-13 13:00:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,13:30,2542120.0,21716415.0,0.0067664911401187355,,0.0,554.0158,,,False,546.2241,549.0666472925112,,
2025-03-13 13:30:00,545.2228,2811644,2025-03-13,2025-03-13 14:00:00,545.2228,2025-03-13 13:30:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,14:00,2811644.0,24528059.0,0.008587217674194125,,0.0,554.0158,,,False,545.2228,548.6260282375381,,
2025-03-13 14:00:00,548.2857,2882136,2025-03-13,2025-03-13 14:30:00,548.2857,2025-03-13 14:00:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,14:30,2882136.0,27410195.0,0.0030177546748739736,,0.0,554.0158,,,False,548.2857,548.5902432945552,,
2025-03-13 14:30:00,548.9898,2802139,2025-03-13,2025-03-13 15:00:00,548.9898,2025-03-13 14:30:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,15:00,2802139.0,30212334.0,0.0017374455241276898,,0.0,554.0158,,,False,548.9898,548.6273014518971,,
2025-03-13 15:00:00,546.6899,2909677,2025-03-13,2025-03-13 15:30:00,546.6899,2025-03-13 15:00:00,False,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,15:30,2909677.0,33122011.0,0.005919497811873287,,0.0,554.0158,,,False,546.6899,548.4571060961757,,
2025-03-13 15:30:00,546.6305,11001275,2025-03-13,2025-03-13 16:00:00,546.6305,2025-03-13 16:00:00,True,2025-03-13 16:00:00,2025-03-13 10:00:00,549.9453,16:00,11001275.0,44123286.0,0.006027508554032557,,0.0,554.0158,,,False,546.6305,548.0016777316449,,
2025-03-14 09:30:00,552.0728,4982233,2025-03-14,2025-03-14 10:00:00,552.0728,2025-03-14 09:30:00,False,2025-03-14 16:00:00,2025-03-14 10:00:00,552.0728,10:00,4982233.0,4982233.0,0.0,,1.0,546.6305,,,False,552.0728,552.0728,,
2025-03-14 10:00:00,552.079,4527192,2025-03-14,2025-03-14 10:30:00,552.079,2025-03-14 10:00:00,False,2025-03-14 16:00:00,2025-03-14 10:00:00,552.0728,10:30,4527192.0,9509425.0,1.1230402946704743e-05,,1.0,546.6305,,,False,552.079,552.0757516601057,,
2025-03-14 10:30:00,555.5226,2073895,2025-03-14,2025-03-14 11:00:00,555.5226,2025-03-14 10:30:00,False,2025-03-14 16:00:00,2025-03-14 10:00:00,552.0728,11:00,2073895.0,11583320.0,0.006248813562269362,,1.0,546.6305,,,False,555.5226,552.6928805607891,,
2025-03-14 11:00:00,556.2068,2307136,2025-03-14,2025-03-14 11:30:00,556.2068,2025-03-14 11:00:00,False,2025-03-14 16:00:00,2025-03-14 10:00:00,552.0728,11:30,2307136.0,13890456.0,0.007488142868114611,,1.0,546.6305,,,False,556.2068,553.2765251898282,,
2025-03-14 11:30:00,557.2276,1922389,2025-03-14,2025-03-14 12:00:00,557.2276,2025-03-14 11:30:00,False,2025-03-14 16:00:00,2025-03-14 10:00:00,552.0728,12:00,1922389.0,15812845.0,0.009337174372655133,,1.0,546.6305,,,False,557.2276,553.7568627099425,,
2025-03-14 12:00:00,555.3293,1546660,2025-03-14,2025-03-14 12:30:00,555.3293,2025-03-14 12:00:00,False,2025-03-14 16:00:00,2025-03-14 10:00:00,552.0728,12:30,1546660.0,17359505.0,0.005898678580071204,,1.0,546.6305,,,False,555.3293,553.896960360137,,
