source_timestamp,price,volume,date
2025-03-13 16:00:00,546.6305,33332863,2025-03-13
2025-03-14 16:00:00,557.9216,23272102,2025-03-14
2025-03-17 16:00:00,562.2239,16657290,2025-03-17
2025-03-18 16:00:00,556.1472,33361803,2025-03-18
2025-03-19 16:00:00,562.204,27701875,2025-03-19
2025-03-20 16:00:00,560.5782,26094821,2025-03-20
2025-03-21 16:00:00,560.7628,44481266,2025-03-21
2025-03-24 16:00:00,570.8052,23437063,2025-03-24
2025-03-25 16:00:00,572.1773,13071439,2025-03-25
2025-03-26 16:00:00,565.3465,19643862,2025-03-26
2025-03-27 16:00:00,563.8452,11607425,2025-03-27
2025-03-28 16:00:00,552.4902,24594666,2025-03-28
2025-03-31 16:00:00,556.199,40664375,2025-03-31
2025-04-01 16:00:00,557.77,18241818,2025-04-01
2025-04-02 16:00:00,561.2997,39204244,2025-04-02
2025-04-03 16:00:00,533.6384,45963803,2025-04-03
2025-04-04 16:00:00,502.3976,81676274,2025-04-04
2025-04-07 16:00:00,501.5028,75068195,2025-04-07
2025-04-08 16:00:00,493.6479,45992358,2025-04-08
2025-04-09 16:00:00,545.4904,81714907,2025-04-09
2025-04-10 16:00:00,521.5876,50441330,2025-04-10
2025-04-11 16:00:00,530.8942,36056813,2025-04-11
2025-04-14 16:00:00,536.0446,19383110,2025-04-14
2025-04-15 16:00:00,534.5432,21618321,2025-04-15
2025-04-16 16:00:00,522.6614,32916659,2025-04-16
2025-04-17 16:00:00,523.4071,7945,2025-04-17
2025-04-21 16:00:00,510.9486,20948386,2025-04-21
2025-04-22 16:00:00,524.2423,24462895,2025-04-22
2025-04-23 16:00:00,532.3657,9280,2025-04-23
2025-04-24 16:00:00,543.5714,21406370,2025-04-24
2025-04-25 16:00:00,547.4989,301,2025-04-25
2025-04-28 16:00:00,547.7077,15048048,2025-04-28
2025-04-29 16:00:00,551.1579,16842851,2025-04-29
2025-04-30 16:00:00,551.3766,37029265,2025-04-30
2025-05-01 16:00:00,555.2842,24389752,2025-05-01
2025-05-02 16:00:00,563.527,22515160,2025-05-02
2025-05-05 16:00:00,560.2955,11309577,2025-05-05
2025-05-06 16:00:00,555.6123,14620679,2025-05-06
2025-05-07 16:00:00,557.949,19451596,2025-05-07
2025-05-08 16:00:00,561.8366,20657990,2025-05-08
2025-05-09 16:00:00,561.1208,21780,2025-05-09
2025-05-12 16:00:00,579.6644,29706583,2025-05-12
2025-05-13 16:00:00,583.4924,26549674,2025-05-13
2025-05-14 16:00:00,584.2382,22903060,2025-05-14
2025-05-15 16:00:00,587.0917,24308003,2025-05-15
2025-05-16 16:00:00,590.8104,36877260,2025-05-16
2025-05-19 16:00:00,591.4567,25491041,2025-05-19
2025-05-20 16:00:00,589.4681,20341118,2025-05-20
2025-05-21 16:00:00,579.5351,30432347,2025-05-21
2025-05-22 16:00:00,579.7638,21916756,2025-05-22
2025-05-23 16:00:00,575.8065,29208556,2025-05-23
2025-05-27 16:00:00,587.7778,22403540,2025-05-27
2025-05-28 16:00:00,584.3773,24308045,2025-05-28
2025-05-29 16:00:00,586.6841,24374595,2025-05-29
2025-05-30 16:00:00,586.0278,32046924,2025-05-30
2025-06-02 16:00:00,589.3289,19386127,2025-06-02
2025-06-03 16:00:00,592.6896,18491648,2025-06-03
2025-06-04 16:00:00,592.5305,17186196,2025-06-04
2025-06-05 16:00:00,589.6669,28647659,2025-06-05
2025-06-06 16:00:00,595.7222,20484376,2025-06-06
2025-06-09 16:00:00,596.2592,15955196,2025-06-09
2025-06-10 16:00:00,599.6398,19416649,2025-06-10
2025-06-11 16:00:00,597.9296,23418135,2025-06-11
2025-06-12 16:00:00,600.3059,19859059,2025-06-12
2025-06-13 16:00:00,593.5944,26872742,2025-06-13
2025-06-16 16:00:00,599.242,28101705,2025-06-16
2025-06-17 16:00:00,594.1215,27596152,2025-06-17
2025-06-18 16:00:00,594.0319,30168585,2025-06-18
2025-06-20 16:00:00,592.6369,42304424,2025-06-20
2025-06-23 16:00:00,598.4907,26134777,2025-06-23
2025-06-24 16:00:00,605.1024,23213676,2025-06-24
2025-06-25 16:00:00,605.4414,19420656,2025-06-25
2025-06-26 16:00:00,610.1782,34910921,2025-06-26
2025-06-27 16:00:00,613.2098,27597889,2025-06-27
2025-06-30 16:00:00,616.1417,32779524,2025-06-30
2025-07-01 16:00:00,615.9423,20177532,2025-07-01
2025-07-02 16:00:00,618.7346,24817702,2025-07-02
2025-07-03 13:00:00,623.611,0,2025-07-03
2025-07-03 14:00:00,623.611,0,2025-07-03
2025-07-03 15:00:00,623.611,0,2025-07-03
2025-07-03 15:30:00,623.611,0,2025-07-03
2025-07-03 16:00:00,623.611,18991361,2025-07-03
2025-07-07 16:00:00,618.9639,21381272,2025-07-07
2025-07-08 16:00:00,618.6249,16208099,2025-07-08
2025-07-09 16:00:00,622.3345,18454647,2025-07-09
2025-07-10 16:00:00,624.0897,16454731,2025-07-10
2025-07-11 16:00:00,621.8958,19080130,2025-07-11
2025-07-14 16:00:00,623.0825,14697391,2025-07-14
2025-07-15 16:00:00,620.4199,21371416,2025-07-15
2025-07-16 16:00:00,622.4941,21327495,2025-07-16
2025-07-17 16:00:00,626.3035,23019597,2025-07-17
2025-07-18 16:00:00,625.8448,28321130,2025-07-18
2025-07-21 16:00:00,627.0316,19977698,2025-07-21
2025-07-22 16:00:00,627.1213,17088565,2025-07-22
2025-07-23 16:00:00,632.4565,26791653,2025-07-23
2025-07-24 16:00:00,632.6659,23326274,2025-07-24
2025-07-25 16:00:00,635.3384,19698064,2025-07-25
2025-07-28 16:00:00,635.179,18691978,2025-07-28
2025-07-29 16:00:00,633.5036,18757833,2025-07-29
2025-07-30 16:00:00,632.7058,30039842,2025-07-30
2025-07-31 16:00:00,630.3324,32138330,2025-07-31
2025-08-01 16:00:00,620.001,39667691,2025-08-01
2025-08-04 16:00:00,629.4249,22571351,2025-08-04
2025-08-05 16:00:00,626.2337,20524017,2025-08-05
2025-08-06 16:00:00,631.0305,21601670,2025-08-06
2025-08-07 16:00:00,630.5019,22280465,2025-08-07
2025-08-08 16:00:00,635.4183,22065935,2025-08-08
2025-08-11 16:00:00,634.1617,17861287,2025-08-11
2025-08-12 16:00:00,640.913,20051198,2025-08-12
2025-08-13 16:00:00,643.107,19778817,2025-08-13
2025-08-14 16:00:00,643.1668,20721323,2025-08-14
2025-08-15 16:00:00,641.6609,29468213,2025-08-15
2025-08-18 16:00:00,641.5214,14691624,2025-08-18
2025-08-19 16:00:00,638.041,21671708,2025-08-19
2025-08-20 16:00:00,636.3457,30337246,2025-08-20
2025-08-21 16:00:00,633.7928,19440427,2025-08-21
2025-08-22 16:00:00,643.5258,22222512,2025-08-22
2025-08-25 16:00:00,640.6936,17059006,2025-08-25
2025-08-26 16:00:00,643.3762,18888670,2025-08-26
2025-08-27 16:00:00,644.8422,16766559,2025-08-27
2025-08-28 16:00:00,647.1258,21426750,2025-08-28
2025-08-29 16:00:00,643.2665,24529791,2025-08-29
2025-09-02 16:00:00,638.4998,30191848,2025-09-02
2025-09-03 16:00:00,641.9601,22219753,2025-09-03
2025-09-04 16:00:00,647.3253,21566575,2025-09-04
2025-09-05 16:00:00,645.4504,26832650,2025-09-05
2025-09-08 16:00:00,647.0361,21434739,2025-09-08
2025-09-09 16:00:00,648.5319,25908652,2025-09-09
2025-09-10 16:00:00,650.4067,27430388,2025-09-10
2025-09-11 16:00:00,655.8117,23163545,2025-09-11
2025-09-12 16:00:00,655.5923,23768095,2025-09-12
2025-09-15 16:00:00,659.0826,17609160,2025-09-15
2025-09-16 16:00:00,658.1752,18910301,2025-09-16
2025-09-17 16:00:00,657.3574,35514366,2025-09-17
2025-09-18 16:00:00,660.429,32010385,2025-09-18
2025-09-19 16:00:00,663.7,44464716,2025-09-19
2025-09-22 16:00:00,666.84,1100,2025-09-22
