source_timestamp,price,volume,date,time,volume_raw,price_raw
2025-06-24 16:00:00,605.1024,23213676,2025-06-24,16:00,0.0,605.1024
2025-06-25 16:00:00,605.4414,19420656,2025-06-25,16:00,0.0,605.4414
2025-06-26 16:00:00,610.1782,34910921,2025-06-26,16:00,0.0,610.1782
2025-06-27 16:00:00,613.2098,27597889,2025-06-27,16:00,0.0,613.2098
2025-06-30 16:00:00,616.1417,32779524,2025-06-30,16:00,0.0,616.1417
2025-07-01 16:00:00,615.9423,20177532,2025-07-01,16:00,0.0,615.9423
2025-07-02 16:00:00,618.7346,24817702,2025-07-02,16:00,0.0,618.7346
2025-07-03 16:00:00,623.611,18991361,2025-07-03,16:00,,
2025-07-07 16:00:00,618.9639,21381272,2025-07-07,16:00,0.0,618.9639
2025-07-08 16:00:00,618.6249,16208099,2025-07-08,16:00,0.0,618.6249
2025-07-09 16:00:00,622.3345,18454647,2025-07-09,16:00,0.0,622.3345
2025-07-10 16:00:00,624.0897,16454731,2025-07-10,16:00,0.0,624.0897
2025-07-11 16:00:00,621.8958,19080130,2025-07-11,16:00,0.0,621.8958
2025-07-14 16:00:00,623.0825,14697391,2025-07-14,16:00,0.0,623.0825
2025-07-15 16:00:00,620.4199,21371416,2025-07-15,16:00,0.0,620.4199
2025-07-16 16:00:00,622.4941,21327495,2025-07-16,16:00,0.0,622.4941
2025-07-17 16:00:00,626.3035,23019597,2025-07-17,16:00,0.0,626.3035
2025-07-18 16:00:00,625.8448,28321130,2025-07-18,16:00,0.0,625.8448
2025-07-21 16:00:00,627.0316,19977698,2025-07-21,16:00,0.0,627.0316
2025-07-22 16:00:00,627.1213,17088565,2025-07-22,16:00,0.0,627.1213
2025-07-23 16:00:00,632.4565,26791653,2025-07-23,16:00,0.0,632.4565
2025-07-24 16:00:00,632.6659,23326274,2025-07-24,16:00,0.0,632.6659
2025-07-25 16:00:00,635.3384,19698064,2025-07-25,16:00,0.0,635.3384
2025-07-28 16:00:00,635.179,18691978,2025-07-28,16:00,0.0,635.179
2025-07-29 16:00:00,633.5036,18757833,2025-07-29,16:00,0.0,633.5036
2025-07-30 16:00:00,632.7058,30039842,2025-07-30,16:00,0.0,632.7058
2025-07-31 16:00:00,630.3324,32138330,2025-07-31,16:00,0.0,630.3324
2025-08-01 16:00:00,620.001,39667691,2025-08-01,16:00,0.0,620.001
2025-08-04 16:00:00,629.4249,22571351,2025-08-04,16:00,0.0,629.4249
2025-08-05 16:00:00,626.2337,20524017,2025-08-05,16:00,0.0,626.2337
2025-08-06 16:00:00,631.0305,21601670,2025-08-06,16:00,0.0,631.0305
2025-08-07 16:00:00,630.5019,22280465,2025-08-07,16:00,0.0,630.5019
2025-08-08 16:00:00,635.4183,22065935,2025-08-08,16:00,0.0,635.4183
2025-08-11 16:00:00,634.1617,17861287,2025-08-11,16:00,0.0,634.1617
2025-08-12 16:00:00,640.913,20051198,2025-08-12,16:00,0.0,640.913
2025-08-13 16:00:00,643.107,19778817,2025-08-13,16:00,0.0,643.107
2025-08-14 16:00:00,643.1668,20721323,2025-08-14,16:00,0.0,643.1668
2025-08-15 16:00:00,641.6609,29468213,2025-08-15,16:00,0.0,641.6609
2025-08-18 16:00:00,641.5214,14691624,2025-08-18,16:00,0.0,641.5214
2025-08-19 16:00:00,638.041,21671708,2025-08-19,16:00,0.0,638.041
2025-08-20 16:00:00,636.3457,30337246,2025-08-20,16:00,0.0,636.3457
2025-08-21 16:00:00,633.7928,19440427,2025-08-21,16:00,0.0,633.7928
2025-08-22 16:00:00,643.5258,22222512,2025-08-22,16:00,0.0,643.5258
2025-08-25 16:00:00,640.6936,17059006,2025-08-25,16:00,0.0,640.6936
2025-08-26 16:00:00,643.3762,18888670,2025-08-26,16:00,0.0,643.3762
2025-08-27 16:00:00,644.8422,16766559,2025-08-27,16:00,0.0,644.8422
2025-08-28 16:00:00,647.1258,21426750,2025-08-28,16:00,0.0,647.1258
2025-08-29 16:00:00,643.2665,24529791,2025-08-29,16:00,0.0,643.2665
2025-09-02 16:00:00,638.4998,30191848,2025-09-02,16:00,0.0,638.4998
2025-09-03 16:00:00,641.9601,22219753,2025-09-03,16:00,0.0,641.9601
2025-09-04 16:00:00,647.3253,21566575,2025-09-04,16:00,0.0,647.3253
2025-09-05 16:00:00,645.4504,26832650,2025-09-05,16:00,0.0,645.4504
2025-09-08 16:00:00,647.0361,21434739,2025-09-08,16:00,0.0,647.0361
2025-09-09 16:00:00,648.5319,25908652,2025-09-09,16:00,0.0,648.5319
2025-09-10 16:00:00,650.4067,27430388,2025-09-10,16:00,0.0,650.4067
2025-09-11 16:00:00,655.8117,23163545,2025-09-11,16:00,0.0,655.8117
2025-09-12 16:00:00,655.5923,23768095,2025-09-12,16:00,0.0,655.5923
2025-09-15 16:00:00,659.0826,17609160,2025-09-15,16:00,0.0,659.0826
2025-09-16 16:00:00,658.1752,18910301,2025-09-16,16:00,0.0,658.1752
2025-09-17 16:00:00,657.3574,35514366,2025-09-17,16:00,0.0,657.3574
2025-09-18 16:00:00,660.429,32010385,2025-09-18,16:00,0.0,660.429
2025-09-19 16:00:00,663.7,44464716,2025-09-19,16:00,0.0,663.7
2025-09-23 16:00:00,663.21,26058110,2025-09-23,16:00,0.0,663.21
2025-09-24 16:00:00,661.1,19867362,2025-09-24,16:00,0.0,661.1
2025-09-25 16:00:00,658.05,28463983,2025-09-25,16:00,0.0,658.05
2025-09-26 16:00:00,661.82,22979181,2025-09-26,16:00,0.0,661.82
2025-09-29 16:00:00,663.68,22821796,2025-09-29,16:00,0.0,663.68
2025-09-30 16:00:00,666.18,29735027,2025-09-30,16:00,0.0,666.18
2025-10-01 16:00:00,668.45,23088885,2025-10-01,16:00,0.0,668.45
2025-10-02 16:00:00,669.22,16821737,2025-10-02,16:00,0.0,669.22
2025-10-03 16:00:00,669.21,20990274,2025-10-03,16:00,0.0,669.21
2025-10-06 16:00:00,671.61,16528733,2025-10-06,16:00,0.0,671.61
2025-10-07 16:00:00,669.12,18256476,2025-10-07,16:00,0.0,669.12
2025-10-08 16:00:00,673.11,17376668,2025-10-08,16:00,0.0,673.11
2025-10-09 16:00:00,671.16,18805206,2025-10-09,16:00,0.0,671.16
2025-10-10 16:00:00,653.02,47859507,2025-10-10,16:00,0.0,653.02
2025-10-13 16:00:00,663.04,25203931,2025-10-13,16:00,0.0,663.04
2025-10-14 16:00:00,662.23,29592302,2025-10-14,16:00,0.0,662.23
2025-10-15 16:00:00,665.17,28985983,2025-10-15,16:00,0.0,665.17
2025-10-16 16:00:00,660.64,39048457,2025-10-16,16:00,0.0,660.64
