date,equity,daily_return,net_pnl
2025-04-02,100632.82379218092,0.006328237921809254,632.8237921809196
2025-04-03,95673.55564966048,-0.049280820667041314,-4959.2681425204355
2025-04-04,90072.55322894857,-0.058542847944543674,-5601.002420711913
2025-04-07,89912.11069512906,-0.0017812588637483584,-160.4425338195142
2025-04-08,88503.82362042548,-0.01566292976347483,-1408.2870747035777
2025-04-09,97798.44659929596,0.10501945112262256,9294.62297887048
2025-04-10,93513.00482743955,-0.04381911902358637,-4285.441771856407
2025-04-11,95181.5605649499,0.017843034138292913,1668.5557375103526
2025-04-14,96104.95225808209,0.00970137164857765,923.3916931321874
2025-04-15,95835.77310926479,-0.002800887389178941,-269.17914881730394
2025-04-16,93705.53945373162,-0.022227959210016857,-2130.2336555331713
2025-04-17,93839.23260097623,0.001426736861278366,133.69314724461583
2025-04-21,91605.60503634294,-0.023802704931860874,-2233.6275646332942
2025-04-22,93988.97179445715,0.026017695720350842,2383.366758114207
2025-04-23,95445.37907932627,0.015495512474102968,1456.4072848691285
2025-04-24,97454.39785373822,0.021048884647859367,2009.0187744119467
2025-04-25,98158.54139109001,0.0072253644048838606,704.1435373517888
2025-04-28,98195.97618946023,0.00038137076855160323,37.43479837021732
2025-04-29,98814.54678973297,0.006299347735789773,618.5706002727384
2025-04-30,98853.75651388799,0.00039680113332352107,39.20972415502183
2025-05-01,99554.3322711269,0.007086991753727512,700.575757238912
2025-05-02,101032.12830812998,0.014844115803804847,1477.7960370030778
2025-05-05,100452.78536055554,-0.005734244712806036,-579.3429475744342
2025-05-06,99613.15582163108,-0.008358449553297898,-839.6295389244624
2025-05-07,100032.07416392927,0.004205451969098384,418.9183422981878
2025-05-08,100729.08214105532,0.006967844893267072,697.0079771260498
2025-05-09,100600.73169970837,-0.0012742143442467935,-128.35044134694908
2025-05-12,103925.32905151909,0.03304744702786655,3324.5973518107203
2025-05-13,104611.6516168498,0.0066039970389748515,686.3225653307163
2025-05-14,104745.34476409442,0.0012779948043863953,133.69314724461583
2025-05-15,105256.95367515415,0.004884311681936371,511.60891105972405
2025-05-16,105923.66241413572,0.00633410635309839,666.7087389815715
2025-05-19,106039.53458935926,0.001093921533514397,115.87217522354331
2025-05-20,105683.0075776781,-0.0033622083788071855,-356.5270116811589
2025-05-21,103902.16537360036,-0.016850790348380218,-1780.8422040777368
2025-05-22,103943.15002354018,0.0003944542425313724,40.98464993981179
