,sessions,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,maximum_drawdown,daily_hit_ratio_all_days,daily_hit_ratio_nonzero_days,best_day_return,best_day_date,worst_day_return,worst_day_date,final_equity,number_of_round_trips,number_of_executions,trade_hit_ratio,average_trade_net_pnl,average_trade_return_notional,average_trade_return_equity,average_trade_net_pnl_per_share,total_costs,alpha_daily,alpha_annual_arithmetic,beta,regression_n,regression_r_squared,alpha_pvalue_ols,beta_pvalue_ols,alpha_pvalue_hac5,beta_pvalue_hac5,alpha_annual_ci_low_hac5,alpha_annual_ci_high_hac5,beta_ci_low_hac5,beta_ci_high_hac5
A,168,0.03594212800000007,0.05439476717721137,0.0664938502825726,0.829626288738231,-0.05059484999142316,0.32142857142857145,0.5869565217391305,0.023247709648524628,2025-10-10,-0.01748262941491907,2025-04-11,103594.21280000001,95,190,0.5894736842105263,37.83381894736804,0.0003646875991124944,0.0003871231314655839,0.28516315789473473,138.33,0.00039002197743856764,0.09828553831451904,-0.1345298010653746,168,0.18823970955463964,0.18547895060091826,4.225392086231804e-09,0.20912091131914073,0.000775429103737339,-0.055615412541990594,0.2521864891710287,-0.21208602643701951,-0.05697357569372968
B,168,0.04474041000000062,0.06785574865306776,0.07240609139964567,0.9423732354752907,-0.028361244176376976,0.27380952380952384,0.5,0.03739947115135167,2025-04-09,-0.01431960712828384,2025-04-11,104474.04100000007,135,270,0.42962962962962964,33.141044444443885,0.0003303926482201334,0.00033695586479210837,0.19606296296296022,201.42000000000002,0.00020739194890906392,0.05226277112508411,0.04982659749573995,168,0.02177757215164,0.555021095773031,0.05626991398715209,0.47744231046530927,0.5889180227530133,-0.0926533302636688,0.197178872513837,-0.13185981915952605,0.23151301415100595
C,168,0.11139267000000075,0.17165916010421944,0.15499541376818485,1.0968859633074428,-0.04816984964446258,0.27380952380952384,0.5,0.09322010865877894,2025-10-10,-0.020114992210592764,2025-11-21,111139.26700000007,135,270,0.42962962962962964,82.5130888888891,0.00033039264822013343,0.000839566882663454,0.19606296296296022,534.915,0.0007018885043130396,0.17687590308688597,-0.021413484762345183,168,0.0008777568116214995,0.35617504083114837,0.7030355801509977,0.3527142242530561,0.8793143016072006,-0.19783857066955324,0.5515903768433252,-0.2994245449476305,0.25659757542294015
SPY_gross,168,0.21962501376015697,0.34691281307991617,0.21444632262885133,1.4946744302991115,-0.12052727643619843,0.5892857142857143,0.5892857142857143,0.10501945112262256,2025-04-09,-0.058542847944543674,2025-04-04,121962.50137601569,,,,,,,,,,,,,,,,,,,,,
SPY_net,168,0.2196071063152245,0.3468831486196675,0.21444630462202388,1.4945717073041402,-0.12052727643619843,0.5892857142857143,0.5892857142857143,0.10501945112262256,2025-04-09,-0.058542847944543674,2025-04-04,121960.71063152245,,,,,,,,,,,,,,,,,,,,,
