model,trade_id,date,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,shares,sizing_leverage,entry_equity,gross_pnl,costs,net_pnl,return_on_entry_notional,return_on_start_equity,pnl_per_share,exit_reason
A,1,2025-04-02,2025-04-02 11:30:00,2025-04-02 16:00:00,1,560.0867,561.2997,180,1.0,100000.0,218.34000000001424,1.6199999999999999,216.72000000001424,0.0021496671854555364,0.0021672000000001424,1.204000000000079,session_close
A,2,2025-04-03,2025-04-03 10:30:00,2025-04-03 16:00:00,-1,539.8726,533.6384,185,1.0,100216.72000000002,1153.3269999999975,1.665,1151.6619999999975,0.011530868578994352,0.011491715154916239,6.225199999999987,session_close
A,3,2025-04-04,2025-04-04 10:30:00,2025-04-04 16:00:00,-1,513.2007,502.3976,194,1.0,101368.38200000001,2095.801399999995,1.746,2094.0553999999947,0.021032901942651235,0.02065787535209938,10.794099999999974,session_close
A,4,2025-04-07,2025-04-07 14:00:00,2025-04-07 16:00:00,1,506.3052,501.5028,210,1.0,103462.4374,-1008.5040000000072,1.89,-1010.3940000000073,-0.009502963824981522,-0.009765805111411452,-4.8114000000000345,session_close
A,5,2025-04-08,2025-04-08 15:30:00,2025-04-08 16:00:00,-1,494.4271,493.6479,197,1.0,102452.04339999998,153.5024000000006,1.7730000000000001,151.72940000000057,0.0015577625093770202,0.0014809797341728823,0.7702000000000029,session_close
A,6,2025-04-09,2025-04-09 11:00:00,2025-04-09 13:30:00,-1,490.317,521.7765,206,1.0,102603.77279999999,-6480.65700000001,1.854,-6482.5110000000095,-0.06417990810026993,-0.06318004516886547,-31.468500000000045,breakout_or_reverse
A,7,2025-04-09,2025-04-09 13:30:00,2025-04-09 16:00:00,1,521.7765,545.4904,206,1.0,102603.77279999999,4885.063399999994,1.854,4883.209399999994,0.04543113766143161,0.04759288344609483,23.704899999999974,session_close
A,8,2025-04-10,2025-04-10 11:30:00,2025-04-10 16:00:00,-1,520.812,521.5876,192,1.0,101004.47119999997,-148.91519999998854,1.728,-150.64319999998855,-0.0015064937059820825,-0.0014914508061895442,-0.7845999999999403,session_close
A,9,2025-04-11,2025-04-11 10:30:00,2025-04-11 13:00:00,-1,517.5607,528.7863,193,1.0,100853.82799999998,-2166.540799999997,1.737,-2168.277799999997,-0.02170682588535023,-0.02149921171063529,-11.234599999999984,breakout_or_reverse
A,10,2025-04-11,2025-04-11 13:00:00,2025-04-11 16:00:00,1,528.7863,530.8942,193,1.0,100853.82799999998,406.82469999999466,1.737,405.0876999999947,0.0039692783266131754,0.004016582295716081,2.0988999999999725,session_close
A,11,2025-04-21,2025-04-21 11:30:00,2025-04-21 16:00:00,-1,510.1432,510.9486,192,1.0,99090.63789999999,-154.63680000000386,1.728,-156.36480000000387,-0.0015964144969491316,-0.0015779977131422209,-0.8144000000000201,session_close
A,12,2025-04-22,2025-04-22 12:00:00,2025-04-22 16:00:00,1,523.2083,524.2423,190,1.0,98934.27309999998,196.45999999999844,1.71,194.74999999999847,0.0019590667808595387,0.00196847860602514,1.024999999999992,session_close
A,13,2025-04-24,2025-04-24 10:30:00,2025-04-24 16:00:00,1,539.0388,543.5714,184,1.0,99129.02309999998,833.9984000000004,1.656,832.3424000000005,0.008391974752095771,0.008396556063710474,4.523600000000003,session_close
A,14,2025-05-01,2025-05-01 11:00:00,2025-05-01 16:00:00,1,560.1761,555.2842,179,1.0,99961.36549999999,-875.6500999999936,1.6110000000000002,-877.2610999999936,-0.00874885594012305,-0.008776001564324306,-4.9008999999999645,session_close
A,15,2025-05-02,2025-05-02 10:30:00,2025-05-02 16:00:00,1,563.0621,563.527,176,1.0,99084.1044,81.82240000001002,1.5839999999999999,80.23840000001002,0.0008096797848764051,0.0008098009310967746,0.4559000000000569,session_close
