date,model,start_equity,gross_pnl,commission,slippage,costs,net_pnl,equity,daily_return,shares,sizing_leverage
2025-04-02,C,100000.0,-1285.1911999999875,4.228,1.208,5.436,-1290.627199999988,98709.37280000001,-0.01290627199999983,302,1.6819329299852241
2025-04-03,C,98709.37280000001,258.5291999999896,6.7829999999999995,1.938,8.721,249.80819999997038,98959.18099999998,0.0025307444765769738,323,1.7745187617726503
2025-04-04,C,98959.18099999998,2473.9098999999937,1.603,0.458,2.061,2471.8488999999972,101431.02989999998,0.02497846965811079,229,1.2057072750100706
2025-04-07,C,101431.02989999998,-755.177200000004,1.316,0.376,1.6920000000000002,-756.8692000000156,100674.16069999996,-0.007461909839091674,188,0.913748777447013
2025-04-08,C,100674.16069999996,137.13920000000053,1.232,0.352,1.584,135.55520000000251,100809.71589999997,0.0013464745974287595,176,0.9122184862461684
2025-04-09,C,100809.71589999997,3529.159199999999,2.646,0.756,3.402,3525.7572000000073,104335.47309999997,0.034974378893175784,189,0.9351213069221191
2025-04-10,C,104335.47309999997,-41.10679999999684,0.742,0.212,0.954,-42.060799999992014,104293.41229999998,-0.0004031303903676564,106,0.5362360017374127
2025-04-11,C,104293.41229999998,-759.1044000000188,2.856,0.816,3.672,-762.776400000017,103530.63589999996,-0.0073137543702750385,102,0.5131430815702236
2025-04-14,C,103530.63589999996,0.0,0.0,0.0,0.0,0.0,103530.63589999996,0.0,98,0.5131809855868433
2025-04-15,C,103530.63589999996,0.0,0.0,0.0,0.0,0.0,103530.63589999996,0.0,98,0.5112442493151098
2025-04-16,C,103530.63589999996,0.0,0.0,0.0,0.0,0.0,103530.63589999996,0.0,100,0.5121245620783087
2025-04-17,C,103530.63589999996,0.0,0.0,0.0,0.0,0.0,103530.63589999996,0.0,100,0.5079107666834958
2025-04-21,C,103530.63589999996,57.507599999995705,2.142,0.612,2.754,54.753599999981816,103585.38949999995,0.000528863746696917,102,0.5108840524978369
2025-04-22,C,103585.38949999995,-364.04440000000557,0.707,0.202,0.909,-364.95340000001306,103220.43609999993,-0.0035232130878845025,101,0.5075569859210025
2025-04-23,C,103220.43609999993,0.0,0.0,0.0,0.0,0.0,103220.43609999993,0.0,94,0.4968626653704683
2025-04-24,C,103220.43609999993,-11.276499999999032,1.33,0.38,1.71,-12.986499999999069,103207.44959999993,-0.00012581326422045347,95,0.4938055358813649
2025-04-25,C,103207.44959999993,0.0,0.0,0.0,0.0,0.0,103207.44959999993,0.0,98,0.5175614234566042
2025-04-28,C,103207.44959999993,0.0,0.0,0.0,0.0,0.0,103207.44959999993,0.0,109,0.5798437623281164
2025-04-29,C,103207.44959999993,0.0,0.0,0.0,0.0,0.0,103207.44959999993,0.0,109,0.5804502832348657
2025-04-30,C,103207.44959999993,0.0,0.0,0.0,0.0,0.0,103207.44959999993,0.0,113,0.5908952935478111
2025-05-01,C,103207.44959999993,-3.8009000000013202,1.337,0.382,1.7189999999999999,-5.519900000013877,103201.92969999992,-5.348354233547514e-05,191,1.0362024146492619
2025-05-02,C,103201.92969999992,-135.52640000000247,1.792,0.512,2.3040000000000003,-137.8304000000062,103064.09929999991,-0.0013355409186694978,256,1.3898079935779297
2025-05-05,C,103064.09929999991,0.0,0.0,0.0,0.0,0.0,103064.09929999991,0.0,258,1.4085621553319914
2025-05-06,C,103064.09929999991,0.0,0.0,0.0,0.0,0.0,103064.09929999991,0.0,259,1.3936309126714468
2025-05-07,C,103064.09929999991,0.0,0.0,0.0,0.0,0.0,103064.09929999991,0.0,252,1.3692830961262827
2025-05-08,C,103064.09929999991,-1031.5854999999851,4.046,1.156,5.202,-1036.7874999999767,102027.31179999994,-0.010059637711305136,289,1.575205586301864
2025-05-09,C,102027.31179999994,0.0,0.0,0.0,0.0,0.0,102027.31179999994,0.0,285,1.578350963464566
2025-05-12,C,102027.31179999994,0.0,0.0,0.0,0.0,0.0,102027.31179999994,0.0,360,2.0361921830651366
2025-05-13,C,102027.31179999994,0.0,0.0,0.0,0.0,0.0,102027.31179999994,0.0,318,1.8194105631711628
2025-05-14,C,102027.31179999994,0.0,0.0,0.0,0.0,0.0,102027.31179999994,0.0,325,1.8632495348610938
2025-05-15,C,102027.31179999994,0.0,0.0,0.0,0.0,0.0,102027.31179999994,0.0,351,2.0074094541437195
2025-05-16,C,102027.31179999994,142.287299999992,2.443,0.6980000000000001,3.141,139.14629999999306,102166.45809999993,0.0013638142331218184,349,2.0107914408518854
2025-05-19,C,102166.45809999993,0.0,0.0,0.0,0.0,0.0,102166.45809999993,0.0,352,2.0287094832399823
2025-05-20,C,102166.45809999993,0.0,0.0,0.0,0.0,0.0,102166.45809999993,0.0,349,2.015569089711148
2025-05-21,C,102166.45809999993,550.6751999999778,2.408,0.6880000000000001,3.096,547.5791999999783,102714.03729999991,0.00535967684681804,344,1.9784600889354949
2025-05-22,C,102714.03729999991,0.0,0.0,0.0,0.0,0.0,102714.03729999991,0.0,304,1.7225612955264664
2025-05-23,C,102714.03729999991,0.0,0.0,0.0,0.0,0.0,102714.03729999991,0.0,322,1.7985416212228518
2025-05-27,C,102714.03729999991,1024.4429999999693,2.205,0.63,2.835,1021.6079999999783,103735.64529999989,0.009946138102001845,315,1.788457999617729
2025-05-28,C,103735.64529999989,-221.43939999999168,4.186,1.196,5.382,-226.82139999998617,103508.8238999999,-0.002186532886974679,299,1.69485923653249
2025-05-29,C,103508.8238999999,0.0,0.0,0.0,0.0,0.0,103508.8238999999,0.0,291,1.6540539549111546
2025-05-30,C,103508.8238999999,-233.87700000001792,2.058,0.588,2.646,-236.5230000000156,103272.30089999989,-0.0022850515645750358,294,1.6598332929314479
2025-06-02,C,103272.30089999989,116.92379999999594,2.058,0.588,2.646,114.2777999999962,103386.57869999988,0.0011065677728112622,294,1.6604313097717793
2025-06-03,C,103386.57869999988,921.5031000000207,2.8770000000000002,0.8220000000000001,3.6990000000000003,917.804100000023,104304.3827999999,0.008877400834234495,411,2.3445184731067643
2025-06-04,C,104304.3827999999,0.0,0.0,0.0,0.0,0.0,104304.3827999999,0.0,414,2.3557007701621098
2025-06-05,C,104304.3827999999,-1105.8505000000162,2.9050000000000002,0.8300000000000001,3.7350000000000003,-1109.5855000000156,103194.79729999989,-0.010637956624772071,415,2.353406059081607
2025-06-06,C,103194.79729999989,0.0,0.0,0.0,0.0,0.0,103194.79729999989,0.0,404,2.337304988910031
2025-06-09,C,103194.79729999989,0.0,0.0,0.0,0.0,0.0,103194.79729999989,0.0,392,2.2652721363020256
2025-06-10,C,103194.79729999989,0.0,0.0,0.0,0.0,0.0,103194.79729999989,0.0,391,2.26543444222949
